cell_id,cloud_pct,lat_center,lon_center,date,NDWI
c0511,43.93608856201172,38.307315,16.069384,2022-09-27,
c0511,46.19818115234375,38.307315,16.069384,2022-09-28,
c0511,58.243438720703125,38.307315,16.069384,2022-09-29,-0.6999801217267911
c0511,70.62700653076172,38.307315,16.069384,2022-09-30,
c0511,56.80329895019531,38.307315,16.069384,2022-10-01,0.0252613902878551
c0511,36.18986129760742,38.307315,16.069384,2022-10-02,
c0511,46.73994064331055,38.307315,16.069384,2022-10-03,
c0511,19.40436553955078,38.307315,16.069384,2022-10-04,-0.700870988269647
c0511,14.592781066894531,38.307315,16.069384,2022-10-05,
c0511,49.66740036010742,38.307315,16.069384,2022-10-06,-0.6656843384077822
c0511,38.62070846557617,38.307315,16.069384,2022-10-07,
c0511,37.34812927246094,38.307315,16.069384,2022-10-08,
c0511,53.15302276611328,38.307315,16.069384,2022-10-09,-0.690525945276022
c0511,43.94504928588867,38.307315,16.069384,2022-10-10,
c0511,57.31427001953125,38.307315,16.069384,2022-10-11,-0.0129408857667725
c0511,72.63714599609375,38.307315,16.069384,2022-10-12,
c0511,49.365943908691406,38.307315,16.069384,2022-10-13,
c0511,44.51621627807617,38.307315,16.069384,2022-10-14,-0.0349993607087526
c0511,22.47047996520996,38.307315,16.069384,2022-10-15,
c0511,12.898032188415527,38.307315,16.069384,2022-10-16,-0.7351248563209937
c0511,10.549314498901367,38.307315,16.069384,2022-10-17,
c0511,6.193899154663086,38.307315,16.069384,2022-10-18,
c0511,15.496621131896973,38.307315,16.069384,2022-10-19,-0.4858246942361196
c0511,24.093534469604492,38.307315,16.069384,2022-10-20,
c0511,61.011348724365234,38.307315,16.069384,2022-10-21,-0.6230926695457302
c0511,55.49615478515625,38.307315,16.069384,2022-10-22,
c0511,46.07029342651367,38.307315,16.069384,2022-10-23,
c0511,38.662147521972656,38.307315,16.069384,2022-10-24,-0.6849921954174837
c0511,32.79486083984375,38.307315,16.069384,2022-10-25,
c0511,28.0955810546875,38.307315,16.069384,2022-10-26,-0.732988052703768
c0511,27.915197372436523,38.307315,16.069384,2022-10-27,
c0511,26.15526580810547,38.307315,16.069384,2022-10-28,
c0511,27.535400390625,38.307315,16.069384,2022-10-29,-0.6884768543144066
c0511,9.939324378967283,38.307315,16.069384,2022-10-30,
c0511,24.3430233001709,38.307315,16.069384,2022-10-31,-0.7004088930283123
c0511,22.77047538757324,38.307315,16.069384,2022-11-01,
c0511,29.808393478393555,38.307315,16.069384,2022-11-02,
c0511,19.650819778442383,38.307315,16.069384,2022-11-03,-0.67962663124005
c0511,72.826171875,38.307315,16.069384,2022-11-04,
c0511,69.38642883300781,38.307315,16.069384,2022-11-05,-0.2331192934792762
c0511,24.15407371520996,38.307315,16.069384,2022-11-06,
c0511,12.475350379943848,38.307315,16.069384,2022-11-07,
c0511,11.8790283203125,38.307315,16.069384,2022-11-08,-0.6719025063018004
c0511,67.37035369873047,38.307315,16.069384,2022-11-09,
c0511,32.351051330566406,38.307315,16.069384,2022-11-10,-0.7679994226900364
c0511,43.993167877197266,38.307315,16.069384,2022-11-11,
c0511,68.07655334472656,38.307315,16.069384,2022-11-12,
c0511,61.91157913208008,38.307315,16.069384,2022-11-13,-0.3242712601398428
c0511,35.36149215698242,38.307315,16.069384,2022-11-14,
c0511,78.80713653564453,38.307315,16.069384,2022-11-15,-0.5677873815609212
c0511,65.66708374023438,38.307315,16.069384,2022-11-16,
c0511,36.076751708984375,38.307315,16.069384,2022-11-17,
c0511,63.73614883422851,38.307315,16.069384,2022-11-18,0.0173875908755386
c0511,75.0255126953125,38.307315,16.069384,2022-11-19,
c0511,63.44428634643555,38.307315,16.069384,2022-11-20,-0.0073731309321881
c0511,33.76896667480469,38.307315,16.069384,2022-11-21,
c0511,67.20418548583984,38.307315,16.069384,2022-11-22,
c0511,69.6915054321289,38.307315,16.069384,2022-11-23,-0.627010109834373
c0511,26.851287841796875,38.307315,16.069384,2022-11-24,
c0511,43.161590576171875,38.307315,16.069384,2022-11-25,-0.5840872327777997
c0511,78.84341430664062,38.307315,16.069384,2022-11-26,
c0511,52.56513214111328,38.307315,16.069384,2022-11-27,
c0511,48.82605743408203,38.307315,16.069384,2022-11-28,-0.6615433519085249
c0511,77.91674041748047,38.307315,16.069384,2022-11-29,
c0511,69.92387390136719,38.307315,16.069384,2022-11-30,-0.0836303393818066
c0511,50.33855056762695,38.307315,16.069384,2022-12-01,
c0511,66.10054016113281,38.307315,16.069384,2022-12-02,
c0511,86.94733428955078,38.307315,16.069384,2022-12-03,-0.0152444598109771
c0511,45.86626052856445,38.307315,16.069384,2022-12-04,
c0511,35.020416259765625,38.307315,16.069384,2022-12-05,-0.7385432230762025
c0511,58.462135314941406,38.307315,16.069384,2022-12-06,
c0511,29.32369804382324,38.307315,16.069384,2022-12-07,
c0511,49.36538314819336,38.307315,16.069384,2022-12-08,-0.307088004425168
c0511,98.50477600097656,38.307315,16.069384,2022-12-09,
c0511,83.19806671142578,38.307315,16.069384,2022-12-10,-0.101474572038633
c0511,68.86781311035156,38.307315,16.069384,2022-12-11,
c0511,80.81065368652344,38.307315,16.069384,2022-12-12,
c0511,76.2381362915039,38.307315,16.069384,2022-12-13,0.0303013812905798
c0511,59.78187942504883,38.307315,16.069384,2022-12-14,
c0511,78.74401092529297,38.307315,16.069384,2022-12-15,-0.2445692201568322
c0511,78.07279205322266,38.307315,16.069384,2022-12-16,
c0511,25.985111236572266,38.307315,16.069384,2022-12-17,
c0511,38.68855667114258,38.307315,16.069384,2022-12-18,-0.0269741437708338
c0511,58.26432037353515,38.307315,16.069384,2022-12-19,
c0511,51.779449462890625,38.307315,16.069384,2022-12-20,-0.2202284212860543
c0511,48.370487213134766,38.307315,16.069384,2022-12-21,
c0511,54.09931945800781,38.307315,16.069384,2022-12-22,
c0511,50.329830169677734,38.307315,16.069384,2022-12-23,0.0080387693863788
c0511,72.52537536621094,38.307315,16.069384,2022-12-24,
c0511,23.58964157104492,38.307315,16.069384,2022-12-25,-0.716895270382554
c0511,49.36605072021485,38.307315,16.069384,2022-12-26,
c0511,24.670610427856445,38.307315,16.069384,2022-12-27,
c0511,31.31015968322754,38.307315,16.069384,2022-12-28,-0.6558613553643227
c0511,65.31497192382812,38.307315,16.069384,2022-12-29,
c0511,62.216609954833984,38.307315,16.069384,2022-12-30,-0.7056033015251161
c0511,53.73676300048828,38.307315,16.069384,2022-12-31,
c0511,41.064449310302734,38.307315,16.069384,2023-01-01,
c0511,50.1080436706543,38.307315,16.069384,2023-01-02,-0.6531400084495544
c0511,64.71986389160156,38.307315,16.069384,2023-01-03,
c0511,37.1186408996582,38.307315,16.069384,2023-01-04,-0.3302248250911575
c0511,45.60549545288086,38.307315,16.069384,2023-01-05,
c0511,37.76799392700195,38.307315,16.069384,2023-01-06,
c0511,28.543933868408203,38.307315,16.069384,2023-01-07,0.0001927739940583
c0511,54.804195404052734,38.307315,16.069384,2023-01-08,
c0511,76.93732452392578,38.307315,16.069384,2023-01-09,-0.0317890953770674
c0511,47.3415641784668,38.307315,16.069384,2023-01-10,
c0511,57.22071838378906,38.307315,16.069384,2023-01-11,
c0511,68.9763412475586,38.307315,16.069384,2023-01-12,0.0089495321153663
c0511,74.3663101196289,38.307315,16.069384,2023-01-13,
c0511,55.88382339477539,38.307315,16.069384,2023-01-14,-0.0173437429695797
c0511,78.52840423583984,38.307315,16.069384,2023-01-15,
c0511,73.27186584472656,38.307315,16.069384,2023-01-16,
c0511,82.00382232666016,38.307315,16.069384,2023-01-17,-0.0788923166692256
c0511,70.59912872314453,38.307315,16.069384,2023-01-18,
c0511,64.7921371459961,38.307315,16.069384,2023-01-19,-0.0350158257666658
c0511,77.11277770996094,38.307315,16.069384,2023-01-20,
c0511,60.0894660949707,38.307315,16.069384,2023-01-21,
c0511,93.29290008544922,38.307315,16.069384,2023-01-22,-0.1327350355956393
c0511,69.49974822998047,38.307315,16.069384,2023-01-23,
c0511,59.922515869140625,38.307315,16.069384,2023-01-24,-0.3264783565992833
c0511,77.47126007080078,38.307315,16.069384,2023-01-25,
